"data_pesquisa,id_empresa,rede,endereco_completo,codigo_categoria,id_produto,descricao,preco_regular,preco_atacado,preco_atacado_qtd,preco_promocao,preco_fidelidade"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555554,CARNE BOVINA ALCATRA COM MAMINHA S/ OSSO -( + ) BARATO -1 KG,39.99,0.00,0,33.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555555,CARNE BOVINA ALCATRA S/ OSSO (PEDAÇO) -( + ) BARATO -1 KG,39.99,0.00,0,33.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555556,CARNE BOVINA CONTRA FILE C/ OSSO -( + ) BARATO -1 KG,35.99,0.00,0,25.99,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555557,CARNE BOVINA CONTRA FILE S/ OSSO -( + ) BARATO -1 KG,45.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555558,CARNE BOVINA COSTELA PONTA -( + ) BARATO -1 KG,23.99,0.00,0,17.99,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555559,CARNE BOVINA COSTELA RIPA -( + ) BARATO -1 KG,23.89,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555560,CARNE BOVINA COXÃO MOLE S/ OSSO (PEDAÇO) -( + ) BARATO -1 KG,35.99,0.00,0,29.99,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555561,CARNE BOVINA FILE MIGNON S/ OSSO -( + ) BARATO -1 KG,34.99,0.00,0,29.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555562,CARNE BOVINA FRALDINHA S/ OSSO -( + ) BARATO -1 KG,29.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555563,CARNE BOVINA MOÍDA DE 1º  -( + ) BARATO -1 KG,29.99,0.00,0,19.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555564,CARNE BOVINA MUSCULO C/ OSSO -( + ) BARATO -1 KG,23.89,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555565,CARNE BOVINA PATINHO S/ OSSO ( PEDAÇO ) -( + ) BARATO -1 KG,34.99,0.00,0,29.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555566,CARNE BOVINA PICANHA -( + ) BARATO -1 KG,65.89,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555567,CARNE BOVINA POSTA BRANCA S/ OSSO ( PEDAÇO ) -( + ) BARATO -1 KG,31.99,0.00,0,25.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555568,CARNE BOVINA POSTA VERMELHA S/ OSSO (PEDAÇO) -( + ) BARATO -1 KG,34.99,0.00,0,28.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555569,CORAÇÃO DE GALINHA -( + ) BARATO -1 KG,29.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555587,SALSICHÃO  -( + ) BARATO -500 GR,8.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,6,666662,ESCOVA DENTAL ADULTO  -( + ) BARATO -1 UN,4.50,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,6,666663,ESCOVA DENTAL INFANTIL  -( + ) BARATO -1 UN,6.50,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,6,666666,PAPEL HIGIÊNICO C/ 12 UNIDADES 60 M   -( + ) BARATO -1 PCTE,17.59,0.00,0,14.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,6,666668,PAPEL HIGIÊNICO FOLHA DUPLA C/ 04 UNIDADES 30 M  -( + ) BARATO -1 PCTE,7.49,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,6,666669,SABONETE -( + ) BARATO -90 GR,3.98,0.00,0,2.99,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,7,777772,CERA LIQUIDA  -( + ) BARATO -750 ML,8.98,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,7,777773,ESPONJA DE LÃ DE AÇO -( + ) BARATO -60 GR,3.25,0.00,0,2.49,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,7,777775,FÓSFORO PACOTE C/10 CAIXAS  -( + ) BARATO -1 PCTE,3.79,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,7,777785,SACO PLÁSTICO P/ LIXO 100 L  -( + ) BARATO -5 UN,8.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,7,777786,SACO PLÁSTICO P/ LIXO 30 L  -( + ) BARATO -10 UN,8.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,7,777787,SACO PLÁSTICO P/ LIXO 50 L  -( + ) BARATO -10 UN,8.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,7,777788,TOALHA DE PAPEL FOLHA DUPLA  -( + ) BARATO -2 ROLO,3.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888881,ABACATE -1 KG,5.98,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888883,ABOBORA KABOTIA -1 KG,6.49,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888884,ABOBORA MENINA -1 KG,4.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888885,ABOBORA MORANGA -1 KG,3.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888886,ABOBRINHA VERDE -1 KG,4.89,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888887,ACELGA -1 MC/CX,4.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888888,AGRIÃO -1 MC/CX,2.75,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888890,ALFACE CRESPA -1 PC/UN,2.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888891,ALFACE LISA -1 PC/UN,2.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888892,ALHO A GRANEL ATENÇÃO -100 GR,3.00,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888893,AMEIXA VERMELHA -1 KG,19.90,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888894,BANANA CATURRA -1 KG,4.29,0.00,0,0.00,0.00"
